Instance ID,Lambda,numSKU,numBinsPerLocation,numReplicate,Solver,Solve status,Objective,BestBound,Gap,NumOfNodes,SolveTime,TimeBestSol,TimeInstance,TimeSolve,TimeTotal,NumOfIterations,ConfigTimeLimit,ConfigCores,ConfigCeilingRounding,ConfigDebugInfo,ConfigMIPFeasibility,End
Instance2XS50_4_10,4,50,10,2,SCP,Feasible,158956,68000,0.572209,108174598,3600.06,2973.6215312480927,6.595292329788208,3600.152753353119,3606.748045682907,,3600,MT,YCR,NDI,NF,Instance2XS50_4_10
Instance3XS50_4_10,4,50,10,3,VGS(MIP),FEASIBLE_SOLUTION,179804.0,168058.44266625794,0.0653242271236572,80063,3609.047000002116,3505.044936656952,41.31249928474426,3609.1074347496033,3650.4199340343475,16913421,3600,MT,YCR,NDI,NF,Instance3XS50_4_10
Instance3XS50_4_10,4,50,10,3,SCP,Feasible,177756,75141,0.57728,105013095,3600.06,2548.2020025253296,6.619446039199829,3600.1601424217224,3606.7795884609222,,3600,MT,YCR,NDI,NF,Instance3XS50_4_10
Instance4XS50_4_10,4,50,10,4,VGS(MIP),FEASIBLE_SOLUTION,152276.0,139858.21797451394,0.08154786063126197,60119,3607.9369999989867,3605.731185913086,40.90628099441528,3608.0124452114105,3648.918726205826,18496387,3600,MT,YCR,NDI,NF,Instance4XS50_4_10
Instance4XS50_4_10,4,50,10,4,SCP,Feasible,151340,62090,0.589732,109556826,3600.06,2610.5127584934235,6.509060621261597,3600.1531858444214,3606.662246465683,,3600,MT,YCR,NDI,NF,Instance4XS50_4_10
Instance5XS50_4_10,4,50,10,5,VGS(MIP),FEASIBLE_SOLUTION,175700.0,161152.75107580045,0.0827959528981192,75221,3608.515000000596,3606.2031257152557,40.40625023841858,3608.5780959129333,3648.984346151352,16214539,3600,MT,YCR,NDI,NF,Instance5XS50_4_10
Instance5XS50_4_10,4,50,10,5,SCP,Feasible,174044,82418,0.526453,106137672,3600.05,3364.7847707271576,6.619442462921143,3600.1441106796265,3606.7635531425476,,3600,MT,YCR,NDI,NF,Instance5XS50_4_10
Instance1XS100_2_20,2,100,20,1,VGS(MIP),FEASIBLE_SOLUTION,213664.0,209063.78609546405,0.021530130974501783,75200,3600.4210000000894,3600.1406242847443,51.73437452316284,3600.437502861023,3652.171877384186,20609618,3600,MT,YCR,NDI,NF,Instance1XS100_2_20
Instance1XS100_2_20,2,100,20,1,SCP,Feasible,213956,48877,0.771556,121046289,3600.06,2653.9010281562805,11.578693866729736,3600.176058292389,3611.7547521591187,,3600,MT,YCR,NDI,NF,Instance1XS100_2_20
Instance2XS100_2_20,2,100,20,2,VGS(MIP),FEASIBLE_SOLUTION,204136.0,198255.31628134332,0.028807675856569553,48856,3605.7190000005066,3535.4999737739563,51.60937261581421,3605.7812502384186,3657.390622854233,17299790,3600,MT,YCR,NDI,NF,Instance2XS100_2_20
Instance2XS100_2_20,2,100,20,2,SCP,Feasible,204160,47669,0.766512,117386862,3600.06,3589.5468406677246,11.610453844070435,3600.17187666893,3611.7823305130005,,3600,MT,YCR,NDI,NF,Instance2XS100_2_20
Instance3XS100_2_20,2,100,20,3,VGS(MIP),FEASIBLE_SOLUTION,196192.0,190823.30704968056,0.027364484537185197,56738,3600.047000002116,3317.673359155655,52.171905755996704,3600.0796089172363,3652.251514673233,17304765,3600,MT,YCR,NDI,NF,Instance3XS100_2_20
Instance3XS100_2_20,2,100,20,3,SCP,Feasible,196432,46265,0.764473,120433401,3600.06,2819.387936115265,11.819077968597412,3600.184844970703,3612.0039229393005,,3600,MT,YCR,NDI,NF,Instance3XS100_2_20
Instance4XS100_2_20,2,100,20,4,VGS(MIP),FEASIBLE_SOLUTION,233412.0,226653.07224999426,0.02895707054481232,52889,3600.2649999968708,3468.2961061000824,51.04687452316284,3600.2961087226868,3651.3429832458496,16764451,3600,MT,YCR,NDI,NF,Instance4XS100_2_20
Instance4XS100_2_20,2,100,20,4,SCP,Feasible,233196,55629,0.76145,114513312,3600.06,1906.5825397968292,11.510071992874146,3600.1763060092926,3611.6863780021667,,3600,MT,YCR,NDI,NF,Instance4XS100_2_20
Instance5XS100_2_20,2,100,20,5,VGS(MIP),FEASIBLE_SOLUTION,251896.0,245689.4306959296,0.024639411916308335,55462,3600.03200000152,3478.1562309265137,52.156280755996704,3600.062501192093,3652.2187819480896,19076359,3600,MT,YCR,NDI,NF,Instance5XS100_2_20
Instance5XS100_2_20,2,100,20,5,SCP,Feasible,251964,59481,0.763931,113194133,3600.05,1266.4696147441864,11.697568655014038,3600.1612179279327,3611.858786582947,,3600,MT,YCR,NDI,NF,Instance5XS100_2_20
Instance1XS100_3_20,3,100,20,1,VGS(MIP),FEASIBLE_SOLUTION,186300.0,172915.73849658348,0.07184252014716326,15183,3600.9380000010133,3600.2968456745148,75.71875238418579,3601.046874523163,3676.7656269073486,11377662,3600,MT,YCR,NDI,NF,Instance1XS100_3_20
Instance1XS100_3_20,3,100,20,1,SCP,Feasible,183820,49833,0.728903,106588305,3600.07,2916.8749618530273,13.552927494049072,3600.1783747673035,3613.7313022613525,,3600,MT,YCR,NDI,NF,Instance1XS100_3_20
Instance2XS100_3_20,3,100,20,2,VGS(MIP),FEASIBLE_SOLUTION,178068.0,165085.94765975123,0.07290502695739137,29488,3600.5630000010133,3537.718730211258,75.32815456390381,3600.6718752384186,3676.0000298023224,12471935,3600,MT,YCR,NDI,NF,Instance2XS100_3_20
Instance2XS100_3_20,3,100,20,2,SCP,Feasible,177068,49705,0.719289,104897755,3600.07,1037.9676146507263,13.172422409057617,3600.184492588043,3613.356914997101,,3600,MT,YCR,NDI,NF,Instance2XS100_3_20
Instance3XS100_3_20,3,100,20,3,VGS(MIP),FEASIBLE_SOLUTION,161536.0,150536.0327751231,0.06809607285606234,16904,3600.9539999999106,3543.290778398514,75.6406512260437,3602.4001681804657,3678.0408194065094,11393968,3600,MT,YCR,NDI,NF,Instance3XS100_3_20
