Instance ID,Lambda,numSKU,numBinsPerLocation,numReplicate,Solver,numVariables,numConstraints,ConfigTimeLimit,ConfigCores,ConfigCeilingRounding,ConfigDebugInfo,ConfigMIPFeasibility,End
Instance2XS200_2_20,2,200,20,2,SCP,400,21,3600,MT,YCR,NDI,NF,
Instance3XS200_2_20,2,200,20,3,VGS(MIP),83577,17822,3600,MT,YCR,NDI,NF,
Instance3XS200_2_20,2,200,20,3,SCP,400,21,3600,MT,YCR,NDI,NF,
Instance4XS200_2_20,2,200,20,4,VGS(MIP),83580,17963,3600,MT,YCR,NDI,NF,
Instance4XS200_2_20,2,200,20,4,SCP,400,21,3600,MT,YCR,NDI,NF,
Instance5XS200_2_20,2,200,20,5,VGS(MIP),83585,17875,3600,MT,YCR,NDI,NF,
Instance5XS200_2_20,2,200,20,5,SCP,400,21,3600,MT,YCR,NDI,NF,
Instance1XS200_3_20,3,200,20,1,VGS(MIP),131579,17835,3600,MT,YCR,NDI,NF,
Instance1XS200_3_20,3,200,20,1,SCP,400,33,3600,MT,YCR,NDI,NF,
Instance2XS200_3_20,3,200,20,2,VGS(MIP),131586,17946,3600,MT,YCR,NDI,NF,
Instance2XS200_3_20,3,200,20,2,SCP,400,33,3600,MT,YCR,NDI,NF,
Instance3XS200_3_20,3,200,20,3,VGS(MIP),131584,17747,3600,MT,YCR,NDI,NF,
Instance3XS200_3_20,3,200,20,3,SCP,400,33,3600,MT,YCR,NDI,NF,
Instance4XS200_3_20,3,200,20,4,VGS(MIP),131575,17886,3600,MT,YCR,NDI,NF,
Instance4XS200_3_20,3,200,20,4,SCP,400,33,3600,MT,YCR,NDI,NF,
Instance5XS200_3_20,3,200,20,5,VGS(MIP),131582,17874,3600,MT,YCR,NDI,NF,
Instance5XS200_3_20,3,200,20,5,SCP,400,33,3600,MT,YCR,NDI,NF,
Instance1XS200_4_20,4,200,20,1,VGS(MIP),163584,17973,3600,MT,YCR,NDI,NF,
Instance1XS200_4_20,4,200,20,1,SCP,400,41,3600,MT,YCR,NDI,NF,
Instance2XS200_4_20,4,200,20,2,VGS(MIP),163583,18071,3600,MT,YCR,NDI,NF,
Instance2XS200_4_20,4,200,20,2,SCP,400,41,3600,MT,YCR,NDI,NF,
Instance3XS200_4_20,4,200,20,3,VGS(MIP),163581,17793,3600,MT,YCR,NDI,NF,
Instance3XS200_4_20,4,200,20,3,SCP,400,41,3600,MT,YCR,NDI,NF,
Instance4XS200_4_20,4,200,20,4,VGS(MIP),163582,17803,3600,MT,YCR,NDI,NF,
Instance4XS200_4_20,4,200,20,4,SCP,400,41,3600,MT,YCR,NDI,NF,
Instance5XS200_4_20,4,200,20,5,VGS(MIP),163581,17993,3600,MT,YCR,NDI,NF,
Instance5XS200_4_20,4,200,20,5,SCP,400,41,3600,MT,YCR,NDI,NF,
Instance1XS50_2_10,2,50,10,1,HYB,,,3600,MT,YCR,NDI,NF,
Instance1XS50_2_10,2,50,10,1,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance2XS50_2_10,2,50,10,2,HYB,,,3600,MT,YCR,NDI,NF,
Instance2XS50_2_10,2,50,10,2,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance3XS50_2_10,2,50,10,3,HYB,,,3600,MT,YCR,NDI,NF,
Instance3XS50_2_10,2,50,10,3,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance4XS50_2_10,2,50,10,4,HYB,,,3600,MT,YCR,NDI,NF,
Instance4XS50_2_10,2,50,10,4,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance5XS50_2_10,2,50,10,5,HYB,,,3600,MT,YCR,NDI,NF,
Instance5XS50_2_10,2,50,10,5,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance1XS50_3_10,3,50,10,1,HYB,,,3600,MT,YCR,NDI,NF,
Instance1XS50_3_10,3,50,10,1,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance2XS50_3_10,3,50,10,2,HYB,,,3600,MT,YCR,NDI,NF,
Instance2XS50_3_10,3,50,10,2,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance3XS50_3_10,3,50,10,3,HYB,,,3600,MT,YCR,NDI,NF,
Instance3XS50_3_10,3,50,10,3,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance4XS50_3_10,3,50,10,4,HYB,,,3600,MT,YCR,NDI,NF,
Instance4XS50_3_10,3,50,10,4,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance5XS50_3_10,3,50,10,5,HYB,,,3600,MT,YCR,NDI,NF,
Instance5XS50_3_10,3,50,10,5,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance1XS50_4_10,4,50,10,1,HYB,,,3600,MT,YCR,NDI,NF,
Instance1XS50_4_10,4,50,10,1,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance2XS50_4_10,4,50,10,2,HYB,,,3600,MT,YCR,NDI,NF,
